site,sensor,year,month,day,hour,microsite,temp,RH
Panoche,station,2014,1,20,16,site,19.78,27
Panoche,station,2014,1,20,17,site,17.83,32
Panoche,station,2014,1,20,18,site,13.72,40
Panoche,station,2014,1,20,19,site,10,51
Panoche,station,2014,1,20,20,site,7.22,65
Panoche,station,2014,1,20,21,site,6.83,67
Panoche,station,2014,1,20,22,site,5.11,66
Panoche,station,2014,1,20,23,site,3.56,61
Panoche,station,2014,1,20,24,site,1.28,64
Panoche,station,2014,1,21,1,site,1.33,69
Panoche,station,2014,1,21,2,site,1.61,81
Panoche,station,2014,1,21,3,site,0.72,84
Panoche,station,2014,1,21,4,site,-0.44,83
Panoche,station,2014,1,21,5,site,-0.67,80
Panoche,station,2014,1,21,6,site,-1,77
Panoche,station,2014,1,21,7,site,-1.94,77
Panoche,station,2014,1,21,8,site,-0.78,82
Panoche,station,2014,1,21,9,site,3.44,80
Panoche,station,2014,1,21,10,site,8.22,64
Panoche,station,2014,1,21,11,site,11.28,54
Panoche,station,2014,1,21,12,site,13.67,45
Panoche,station,2014,1,21,13,site,15.78,36
Panoche,station,2014,1,21,14,site,17.39,31
Panoche,station,2014,1,21,15,site,18,31
Panoche,station,2014,1,21,16,site,18.56,29
Panoche,station,2014,1,21,17,site,17.22,31
Panoche,station,2014,1,21,18,site,13.61,41
Panoche,station,2014,1,21,19,site,10.44,49
Panoche,station,2014,1,21,20,site,8.67,61
Panoche,station,2014,1,21,21,site,6.11,65
Panoche,station,2014,1,21,22,site,5.5,70
Panoche,station,2014,1,21,23,site,3.56,71
Panoche,station,2014,1,21,24,site,2.56,64
Panoche,station,2014,1,22,1,site,2.39,66
Panoche,station,2014,1,22,2,site,2.39,68
Panoche,station,2014,1,22,3,site,1.06,68
Panoche,station,2014,1,22,4,site,0.28,74
Panoche,station,2014,1,22,5,site,0.06,73
Panoche,station,2014,1,22,6,site,-0.83,72
Panoche,station,2014,1,22,7,site,-1.5,74
Panoche,station,2014,1,22,8,site,-1.28,79
Panoche,station,2014,1,22,9,site,2.33,72
Panoche,station,2014,1,22,10,site,7.83,57
Panoche,station,2014,1,22,11,site,12.28,41
Panoche,station,2014,1,22,12,site,15.44,33
Panoche,station,2014,1,22,13,site,17.67,27
Panoche,station,2014,1,22,14,site,19.11,21
Panoche,station,2014,1,22,15,site,19.78,18
Panoche,station,2014,1,22,16,site,19.5,20
Panoche,station,2014,1,22,17,site,17.56,26
Panoche,station,2014,1,22,18,site,13.56,36
Panoche,station,2014,1,22,19,site,9.94,44
Panoche,station,2014,1,22,20,site,7.33,49
