site,sensor,date,year,month,day,hour,lat,lon,microsite,rep,temp,intensity,pendant.id
panoche,hobo.pendant,05/27/19,2019,5,27,01:24:11,36.69532,-120.79684,shrub.soil,1,48.871,,1174238
panoche,hobo.pendant,05/27/19,2019,5,27,02:24:11,36.69532,-120.79684,shrub.soil,1,47.982,,1174238
panoche,hobo.pendant,05/27/19,2019,5,27,03:24:11,36.69532,-120.79684,shrub.soil,1,46.908,,1174238
panoche,hobo.pendant,05/27/19,2019,5,27,04:24:11,36.69532,-120.79684,shrub.soil,1,46.548,,1174238
panoche,hobo.pendant,05/27/19,2019,5,27,05:24:11,36.69532,-120.79684,shrub.soil,1,47.446,,1174238
panoche,hobo.pendant,05/27/19,2019,5,27,06:24:11,36.69532,-120.79684,shrub.soil,1,48.517,,1174238
panoche,hobo.pendant,05/27/19,2019,5,27,07:24:11,36.69532,-120.79684,shrub.soil,1,57.268,6,1174238
panoche,hobo.pendant,05/27/19,2019,5,27,08:24:11,36.69532,-120.79684,shrub.soil,1,69.793,12,1174238
panoche,hobo.pendant,05/27/19,2019,5,27,09:24:11,36.69532,-120.79684,shrub.soil,1,74.271,9,1174238
panoche,hobo.pendant,05/27/19,2019,5,27,10:24:11,36.69532,-120.79684,shrub.soil,1,87.552,14,1174238
panoche,hobo.pendant,05/27/19,2019,5,27,11:24:11,36.69532,-120.79684,shrub.soil,1,97.72,17,1174238
panoche,hobo.pendant,05/27/19,2019,5,27,12:24:11,36.69532,-120.79684,shrub.soil,1,81.442,4,1174238
panoche,hobo.pendant,05/27/19,2019,5,27,13:24:11,36.69532,-120.79684,shrub.soil,1,78.098,6,1174238
panoche,hobo.pendant,05/27/19,2019,5,27,14:24:11,36.69532,-120.79684,shrub.soil,1,76.876,1,1174238
panoche,hobo.pendant,05/27/19,2019,5,27,15:24:11,36.69532,-120.79684,shrub.soil,1,74.271,8,1174238
panoche,hobo.pendant,05/27/19,2019,5,27,16:24:11,36.69532,-120.79684,shrub.soil,1,77.574,4,1174238
panoche,hobo.pendant,05/27/19,2019,5,27,17:24:11,36.69532,-120.79684,shrub.soil,1,73.926,,1174238
panoche,hobo.pendant,05/27/19,2019,5,27,18:24:11,36.69532,-120.79684,shrub.soil,1,70.995,,1174238
panoche,hobo.pendant,05/27/19,2019,5,27,19:24:11,36.69532,-120.79684,shrub.soil,1,68.077,,1174238
panoche,hobo.pendant,05/27/19,2019,5,27,20:24:11,36.69532,-120.79684,shrub.soil,1,65.338,,1174238
panoche,hobo.pendant,05/27/19,2019,5,27,21:24:11,36.69532,-120.79684,shrub.soil,1,61.912,,1174238
panoche,hobo.pendant,05/27/19,2019,5,27,22:24:11,36.69532,-120.79684,shrub.soil,1,59.164,,1174238
panoche,hobo.pendant,05/27/19,2019,5,27,23:24:11,36.69532,-120.79684,shrub.soil,1,57.441,,1174238
